Rank,Word,Part of speech,Frequency,Dispersion
1,the,v,22038615,0.99
2,of,v,11019308,0.99
3,and,v,7346205,0.99
4,to,v,5509654,0.99
5,a,v,4407723,0.99
6,in,v,3673103,0.99
7,for,v,3148374,0.99
8,is,v,2754827,0.99
9,on,v,2448735,0.99
10,that,v,2203862,0.99
11,by,v,2003511,0.99
12,this,v,1836552,0.99
13,with,v,1695279,0.99
14,i,v,1574187,0.99
15,you,v,1469241,0.99
16,it,v,1377414,0.99
17,not,v,1296390,0.99
18,or,v,1224368,0.99
19,be,v,1159928,0.99
20,are,v,1101931,0.99
21,from,v,1049458,0.99
22,at,v,1001756,0.99
23,as,v,958201,0.99
24,your,v,918276,0.99
25,all,v,881545,0.99
26,have,v,847640,0.99
27,new,v,816245,0.99
28,more,v,787094,0.99
29,an,v,759953,0.99
30,was,v,734621,0.99
31,we,v,710924,0.99
32,will,v,688707,0.99
33,home,v,667837,0.99
34,can,v,648195,0.99
35,us,v,629675,0.99
36,about,v,612184,0.99
37,if,v,595639,0.99
38,page,v,579964,0.99
39,my,v,565093,0.99
40,has,v,550966,0.99
41,search,v,537528,0.99
42,free,v,524729,0.99
43,but,v,512526,0.99
44,our,v,500878,0.99
45,one,v,489747,0.99
46,other,v,479101,0.99
47,do,v,468907,0.99
48,no,v,459138,0.99
49,information,v,449768,0.99
50,time,v,440773,0.99
51,they,v,432130,0.99
52,site,v,423820,0.99
53,he,v,415823,0.99
54,up,v,408123,0.99
55,may,v,400703,0.99
56,what,v,393547,0.99
57,which,v,386643,0.99
58,their,v,379977,0.99
59,news,v,373536,0.99
60,out,v,367311,0.99
61,use,v,361289,0.99
62,any,v,355462,0.99
63,there,v,349820,0.99
64,see,v,344354,0.99
65,only,v,339056,0.99
66,so,v,333919,0.99
67,his,v,328935,0.99
68,when,v,324098,0.99
69,contact,v,319401,0.99
70,here,v,314838,0.99
71,business,v,310404,0.99
72,who,v,306092,0.99
73,web,v,301899,0.99
74,also,v,297820,0.99
75,now,v,293849,0.99
76,help,v,289982,0.99
77,get,v,286216,0.99
78,pm,v,282547,0.99
79,view,v,278970,0.99
80,online,v,275483,0.99
81,c,v,272082,0.99
82,e,v,268764,0.99
83,first,v,265526,0.99
84,am,v,262365,0.99
85,been,v,259278,0.99
86,would,v,256263,0.99
87,how,v,253318,0.99
88,were,v,250439,0.99
89,me,v,247625,0.99
90,s,v,244874,0.99
91,services,v,242183,0.99
92,some,v,239551,0.99
93,these,v,236975,0.99
94,click,v,234454,0.99
95,its,v,231986,0.99
96,like,v,229569,0.99
97,service,v,227203,0.99
98,x,v,224884,0.99
99,than,v,222613,0.99
100,find,v,220387,0.99
101,price,v,218205,0.99
102,date,v,216065,0.99
103,back,v,213968,0.99
104,top,v,211910,0.99
105,people,v,209892,0.99
106,had,v,207912,0.99
107,list,v,205969,0.99
108,name,v,204062,0.99
109,just,v,202190,0.99
110,over,v,200352,0.99
111,state,v,198547,0.99
112,year,v,196774,0.99
113,day,v,195032,0.99
114,into,v,193322,0.99
115,email,v,191641,0.99
116,two,v,189989,0.99
117,health,v,188365,0.99
118,n,v,186768,0.99
119,world,v,185199,0.99
120,re,v,183656,0.99
121,next,v,182138,0.99
122,used,v,180645,0.99
123,go,v,179176,0.99
124,b,v,177731,0.99
125,work,v,176309,0.99
126,last,v,174910,0.99
127,most,v,173533,0.99
128,products,v,172177,0.99
129,music,v,170842,0.99
130,buy,v,169528,0.99
131,data,v,168234,0.99
132,make,v,166960,0.99
133,them,v,165704,0.99
134,should,v,164468,0.99
135,product,v,163249,0.99
136,system,v,162049,0.99
137,post,v,160866,0.99
138,her,v,159701,0.99
139,city,v,158552,0.99
140,t,v,157419,0.99
141,add,v,156303,0.99
142,policy,v,155202,0.99
143,number,v,154117,0.99
144,such,v,153046,0.99
145,please,v,151991,0.99
146,available,v,150950,0.99
147,copyright,v,149923,0.99
148,support,v,148910,0.99
149,message,v,147911,0.99
150,after,v,146925,0.99
151,best,v,145952,0.99
152,software,v,144991,0.99
153,then,v,144044,0.99
154,jan,v,143108,0.99
155,good,v,142185,0.99
156,video,v,141274,0.99
157,well,v,140374,0.99
158,d,v,139485,0.99
159,where,v,138608,0.99
160,info,v,137742,0.99
161,rights,v,136886,0.99
162,public,v,136041,0.99
163,books,v,135207,0.99
164,high,v,134382,0.99
165,school,v,133568,0.99
166,through,v,132763,0.99
167,m,v,131968,0.99
168,each,v,131183,0.99
169,links,v,130407,0.99
170,she,v,129639,0.99
171,review,v,128881,0.99
172,years,v,128132,0.99
173,order,v,127391,0.99
174,very,v,126659,0.99
175,privacy,v,125935,0.99
176,book,v,125220,0.99
177,items,v,124512,0.99
178,company,v,123813,0.99
179,r,v,123121,0.99
180,read,v,122437,0.99
181,group,v,121761,0.99
182,sex,v,121092,0.99
183,need,v,120430,0.99
184,many,v,119776,0.99
185,user,v,119128,0.99
186,said,v,118488,0.99
187,de,v,117854,0.99
188,does,v,117227,0.99
189,set,v,116607,0.99
190,under,v,115993,0.99
191,general,v,115386,0.99
192,research,v,114785,0.99
193,university,v,114190,0.99
194,january,v,113602,0.99
195,mail,v,113019,0.99
196,full,v,112442,0.99
197,map,v,111872,0.99
198,reviews,v,111307,0.99
199,program,v,110747,0.99
200,life,v,110194,0.99
201,know,v,109645,0.99
202,games,v,109103,0.99
203,way,v,108565,0.99
204,days,v,108033,0.99
205,management,v,107506,0.99
